0,1,2,3,4
335.0,49736.51953125,60050.05078125,46860.734375,67054.765625
336.0,49842.76953125,60242.52734375,46873.27734375,67656.65625
337.0,49927.1640625,60357.06640625,50166.1328125,68623.3828125
338.0,49779.109375,60328.62109375,46869.8984375,67613.5703125
339.0,49842.76953125,60142.26953125,46734.7421875,67942.8203125
340.0,49643.046875,60103.49609375,46774.4609375,67264.7578125
341.0,49562.96875,60130.7890625,46772.80859375,67983.8515625
342.0,49537.921875,60310.25390625,46783.921875,67194.03125
343.0,49711.19140625,60880.02734375,46877.84765625,67244.7578125
344.0,50063.39453125,60868.421875,46731.41796875,68353.8359375
345.0,50101.33203125,60053.62109375,46869.8984375,67113.296875
346.0,49706.65234375,60130.7890625,46860.8125,68279.8671875
347.0,49636.71484375,60053.62109375,46746.234375,68279.8671875
348.0,49817.55078125,60160.0,46769.45703125,67317.9921875
349.0,49927.1640625,60127.08984375,46795.4921875,127144.109375
350.0,49657.33984375,60219.94921875,46926.67578125,67075.2109375
351.0,49649.7734375,60075.81640625,46883.6328125,67414.1640625
352.0,49523.796875,60070.45703125,46888.796875,67344.609375
353.0,49874.15234375,60848.77734375,47057.5859375,67810.1796875
354.0,49537.75,60132.703125,47022.84375,67613.5703125
355.0,50323.91796875,60494.6953125,46883.2265625,67888.265625
356.0,49636.4921875,60275.81640625,46855.4609375,67070.6484375
357.0,49514.10546875,60290.23046875,46873.27734375,67855.328125
358.0,49972.72265625,60431.4296875,46774.4609375,67070.6484375
359.0,49945.9375,60188.1875,46866.76171875,67134.03125
360.0,49683.33984375,60138.828125,46753.75,67313.2890625
361.0,49634.921875,60052.34765625,46746.6640625,67491.21875
362.0,49581.0703125,60242.52734375,46778.02734375,69177.484375
363.0,49604.4375,60141.88671875,46732.76953125,67793.7109375
364.0,51177.328125,60241.50390625,46767.40234375,67290.203125
365.0,49731.1953125,60868.421875,46752.55859375,67113.296875
366.0,49623.66015625,64336.671875,46785.19140625,67159.765625
367.0,50031.67578125,61238.06640625,46731.5234375,68975.28125
368.0,50121.05859375,60331.046875,46884.2265625,67961.0546875
369.0,50306.20703125,60093.1640625,46869.8984375,68599.265625
370.0,49747.11328125,60310.25390625,46772.80859375,67793.7109375
371.0,50031.67578125,60075.81640625,46746.234375,67113.296875
372.0,49689.0,60229.1328125,46860.8125,67081.9765625
373.0,49709.90234375,60173.265625,46905.66796875,67113.296875
374.0,49775.578125,60060.25390625,46745.61328125,67223.5859375
375.0,49631.8984375,60175.05078125,46731.6328125,67705.0390625
376.0,49785.44140625,60688.4453125,46757.29296875,67194.3203125
377.0,52038.5859375,60146.60546875,46733.60546875,67239.46875
378.0,49597.265625,60231.171875,46783.921875,67810.1796875
379.0,49561.9609375,60193.546875,46778.02734375,68072.375
380.0,49534.27734375,60103.23828125,46869.8984375,67724.59375
381.0,49581.0703125,60357.06640625,46995.18359375,67264.7578125
382.0,49895.27734375,60101.32421875,46776.890625,67102.5625
383.0,49682.4453125,60344.18359375,47061.77734375,67131.0859375
384.0,50641.54296875,60443.41796875,46743.53125,67213.734375
385.0,50009.70703125,60174.66796875,46747.015625,69588.640625
386.0,49522.33984375,60344.18359375,46731.09375,67334.90625
387.0,49724.640625,60331.5546875,46735.0390625,67239.0234375
388.0,49514.77734375,60518.9296875,46746.6640625,67102.5625
389.0,49530.859375,60130.7890625,46895.125,67888.8515625
390.0,49946.10546875,61262.80859375,46745.9375,67319.0234375
391.0,49629.09375,60174.66796875,46848.86328125,67122.5625
392.0,50306.20703125,60165.99609375,46971.5,67308.4375
393.0,49874.15234375,60659.6171875,47013.08203125,67414.1640625
394.0,83575.359375,60328.62109375,46756.5078125,67303.140625
395.0,49623.66015625,61078.37109375,46733.06640625,69051.75
396.0,49621.08203125,62874.67578125,46772.80859375,67379.90625
397.0,49724.640625,60045.33203125,46739.93359375,67218.8828125
398.0,49736.51953125,60546.3515625,46786.11328125,67515.484375
399.0,49514.10546875,60118.2890625,46775.02734375,67321.8203125
400.0,49780.0625,60705.5390625,46772.80859375,67768.7109375
401.0,50448.546875,60240.73828125,46869.8984375,67705.0390625
402.0,51024.51171875,60071.09765625,46771.80859375,67344.609375
403.0,49523.796875,60346.734375,46785.734375,68248.3984375
404.0,49695.61328125,60045.33203125,46783.83984375,67060.5
405.0,49636.71484375,60310.25390625,46731.41796875,67704.3046875
406.0,49766.0546875,71722.5390625,46876.359375,67052.859375
407.0,49530.859375,60090.99609375,46772.80859375,67244.7578125
408.0,50909.18359375,60160.0,46768.0234375,67656.65625
409.0,49643.046875,60218.03515625,46753.9921875,69992.890625
410.0,49562.9140625,60118.80078125,46777.7578125,69145.1328125
411.0,49823.66015625,60471.86328125,46926.59375,67070.6484375
412.0,80580.265625,60510.51171875,46918.94140625,67198.5859375
413.0,49736.51953125,60075.81640625,46744.39453125,67321.8203125
414.0,50991.6171875,60182.578125,46785.8671875,67502.8359375
415.0,50323.91796875,60288.5703125,46733.25390625,67261.671875
416.0,49724.640625,60101.32421875,46855.4609375,68582.2109375
417.0,50547.23046875,60619.82421875,46776.890625,68817.203125
418.0,49881.99609375,61144.44140625,46756.5078125,67131.0859375
419.0,49630.3828125,60216.50390625,46737.2578125,67102.5625
420.0,50158.546875,60102.34765625,46787.05859375,67264.7578125
421.0,50566.28515625,60182.578125,46883.2265625,67134.03125
422.0,49561.9609375,60184.87109375,46999.56640625,75509.0078125
423.0,49539.0390625,60130.40625,46769.45703125,69355.125
424.0,49561.9609375,60299.66796875,46771.80859375,67295.0546875
425.0,49525.53515625,60647.1171875,46867.734375,67125.796875
426.0,49649.7734375,60192.90625,46777.109375,71129.90625
427.0,49791.88671875,60092.26953125,46775.02734375,67477.6953125
428.0,49658.515625,61144.44140625,46880.359375,67609.75
429.0,49791.55078125,60061.78515625,46780.3515625,68975.28125
430.0,50307.9453125,60880.02734375,46777.109375,67997.3828125
431.0,49788.91796875,60150.5625,46768.0234375,67176.8203125
432.0,49874.15234375,60234.87109375,46731.41796875,67414.1640625
433.0,50307.9453125,61689.8515625,46995.18359375,67113.296875
434.0,49561.9609375,60214.3359375,46776.91796875,73793.0390625
435.0,49972.72265625,60102.34765625,46786.11328125,67754.890625
436.0,49569.24609375,63126.71875,46746.80078125,67218.8828125
437.0,49695.61328125,60102.34765625,46741.609375,67797.828125
438.0,49648.765625,60862.5546875,46767.40234375,67059.625
439.0,49874.15234375,60060.25390625,47013.08203125,67199.6171875
440.0,49834.08203125,60688.4453125,46731.5234375,69845.3984375
441.0,49791.88671875,60046.09765625,47043.28125,67503.1328125
442.0,49522.33984375,60132.703125,46732.25390625,68817.203125
443.0,49711.19140625,60140.73828125,46753.9921875,67646.5078125
444.0,49736.51953125,60649.03125,47684.6953125,67669.3046875
445.0,50963.09375,60102.34765625,46865.9765625,67109.46875
446.0,49653.9765625,60046.09765625,46811.76953125,67054.765625
447.0,49636.71484375,60275.81640625,46771.484375,68400.6015625
448.0,49583.87109375,60290.99609375,46929.67578125,67260.0546875
449.0,49598.44140625,60862.5546875,46763.88671875,67677.9765625
